MSWOA,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
0,67286.07648,1.77E+13,156215.5715,87.61327778,250215488.6,66701.58,118.9746344,-2046.380683,442.5927125,20.68125301,612.576459,556790532.9,1129596523,122.2891444,0.241082256,0.542503431,2.829604359,76.28959105,-3.281461886,-1.478596786,-0.507390833,-0.757318494,-0.823389116
1,60351.3339,9.1758E+11,139198.3572,86.08970174,218931571,60644.12,105.579893,-2141.048687,413.8004056,20.40962229,539.9197832,489968009.4,963897599,38.806641,0.064962241,-0.205510218,1.550821419,30.49209479,-3.508586176,-1.747154448,-0.8418874,-1.225740259,-1.15673096
2,47319.2054,23637254656,130284.3149,85.23001593,178165674.4,51020.78,85.65733238,-2877.032331,395.2580413,20.10075966,455.4020032,380005009.4,803486063.7,29.37763529,0.036307038,-0.590445153,1.133898011,22.12815843,-3.56545679,-1.916270235,-1.53851209,-1.75313531,-1.583097749
3,37913.55865,14450311950,126542.9804,84.26883158,127349526,40122.94,62.45380577,-3545.65234,374.464125,19.12097431,352.5119989,252987969.5,603502479.1,13.03355157,0.027263284,-0.714153418,0.950466577,19.5867159,-3.604437837,-2.089291031,-1.967546295,-2.162544977,-1.935400934
4,29164.07757,183859445.7,125028.1967,82.66287354,89366888.31,28539.62,46.21764539,-4241.829041,352.8022287,17.94916841,264.7065843,166521803.1,434765992.4,11.27021294,0.019938298,-0.777367579,0.802214702,18.55975654,-3.62444495,-2.239128142,-2.498177012,-2.698759795,-2.173772131
5,21925.16554,3900474.498,121734.0643,81.47577355,56631767.71,22423.54,31.44852672,-4703.71638,333.0504407,16.71004311,188.0790614,103339866.5,274835201.1,10.47059826,0.016830373,-0.863512745,0.685502301,15.93783986,-3.644617617,-2.337528774,-3.152753892,-3.05553387,-2.595761043
6,16105.44523,65708.55525,120387.082,80.97504371,36389886.18,16045.02,20.9501292,-5075.114046,312.7735068,15.74644595,135.2742078,68135028.88,176345272,9.77330246,0.014736327,-0.887224686,0.613710697,15.43195326,-3.662125702,-2.424076752,-3.547056616,-3.472172291,-2.928302656
7,13061.83015,1616.794222,119647.8513,80.67911922,24272411.69,11328.24,13.42036008,-5724.122677,294.8737309,14.85616865,108.4051242,38791931.77,115220627.1,8.824975008,0.013125079,-0.918705234,0.568456182,14.98159797,-3.66935343,-2.490598779,-3.896415196,-3.831538854,-3.092927074
8,9962.519491,445.4771447,117545.1517,79.8036869,17447515.79,9050.98,8.710364607,-6089.109268,278.0130398,13.56018149,82.4293477,22733909.98,81362949.66,8.426376518,0.010770944,-0.92741476,0.523846716,14.89021291,-3.680730068,-2.531967497,-4.359016764,-4.119467216,-3.467332735
9,7722.693789,32.44595876,116754.5535,79.30979354,11784887.81,7232.68,5.364876815,-6365.64233,265.8405718,12.27973694,61.28856077,14590394.99,61118626.91,8.23750163,0.00895951,-0.932826757,0.511634734,14.75130233,-3.684768113,-2.581771241,-4.675812083,-4.433839439,-3.796121082
